id,Model,cena_A,cena_B,cena_C,cena_D
1,iPhone 12 - 64 GB, 600 zł , 450 zł , 330 zł , 138 zł 
2,iPhone 12 - 128 GB, 650 zł , 488 zł , 358 zł , 150 zł 
3,iPhone 12 Pro - 128 GB, 800 zł , 600 zł , 440 zł , 184 zł 
4,iPhone 12 Pro - 256 GB, 900 zł , 675 zł , 495 zł , 207 zł 
5,iPhone 13 Pro - 128 GB," 1,200 zł ", 900 zł , 660 zł , 276 zł 
6,iPhone 13 Pro Max - 128 GB," 1,300 zł ", 975 zł , 715 zł , 299 zł 
7,iPhone 14 Pro - 128 GB," 1,400 zł "," 1,050 zł ", 770 zł , 322 zł 
8,iPhone 14 Pro - 256 GB," 1,450 zł "," 1,088 zł ", 798 zł , 334 zł 
9,iPhone 15 Pro - 128 GB," 1,800 zł "," 1,350 zł ", 990 zł , 414 zł 
10,Samsung S22 Ultra - 128 GB," 1,100 zł ", 825 zł , 605 zł , 253 zł 
11,Samsung S23 Ultra - 128 GB," 1,300 zł ", 975 zł , 715 zł , 299 zł 
12,Samsung S24 Ultra - 128GB," 1,700 zł "," 1,275 zł ", 935 zł , 391 zł 
